"title","release","day_audience","total_audience","day23_audience","total23_audience","day23_screen","screen","Nationality","distributor","grade","genre","director","actor","date","day","weekday","dire_score","agency_score","actors_score","expect","Netizen_score","ranks_sum","SF","family","horror","documentary","drama","romance","musical","mystery","crime","historyy","western","adult","thrill","animation","action","adventure","war","comedy","fantasy","X18","all","X15","USA","KOR","first_day_audience","holiday"
"7급공무원","2009-04-22",57932,3783394,49824,2683452,302,339,"한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘,강지환,유승목,강규영,김민국,강신일,장남열,심은혜,박지영,나귀화,서정주,천성일,민홍남,이상욱,박병렬,정경민,이수지,임성현,김재훈,김철남,이가현,서민경,이정선,김은주,손호승,김형범,장영남","2009-05-31",40,"일요일",2,4,6,"0",8.28,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,87235,0
"7번방의선물","2013-01-23",213313,11704914,210937,7737825,623,605,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수","2013-03-03",40,"일요일",2,3,25,"0",8.84,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,177508,1
"A특공대","2010-06-10",478,777306,4912,741394,73,315,"미국","이십세기폭스코리아(주)","15세이상관람가","액션","조카나한","리암니슨,퀸튼잭슨,브래들리쿠퍼,제시카비엘,샬토코플리,패트릭윌슨","2010-07-19",40,"월요일",0,3,4,"0",8.93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,40591,0
"가디언의전설","2010-10-28",108,301290,3509,956150,13,233,"미국","워너브러더스코리아(주)","전체관람가","애니메이션,어드벤처,판타지","잭스나이더","휴고위빙,짐스터게스,라이언콴튼","2010-12-06",40,"월요일",2,4,1,"0",8.07,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,12292,0
"가디언즈","2012-11-29",635,1072345,6589,1260185,68,337,"미국","씨제이이앤엠(주)","전체관람가","애니메이션,어드벤처","피터램지","크리스파인,알렉볼드윈,휴잭맨,주드로,아일라피셔,다코타고요,이제훈,류승룡,유해진,이종혁,한혜진","2013-01-07",40,"월요일",1,4,27,"0",9.15,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,84573,0
"가디언즈오브갤럭시","2014-07-31",502,1309671,3854,2700059,59,497,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","12세이상관람가","액션,어드벤처,SF","제임스건","크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼","2014-09-08",40,"월요일",2,2,9,"7,337",8.56,1.286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,122871,0
"가디언즈오브갤럭시VOL.2","2017-05-03",169,2734944,3100,2341246,167,1166,"미국","월트디즈니컴퍼니코리아유한책임회사","12세이상관람가","액션,SF","제임스건","크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼","2017-06-11",40,"일요일",2,2,19,"7,337",8.93,1.857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,570901,0
"가문의영광4가문의수난","2011-09-07",2,2368155,6573,1182733,145,391,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미,신현준,임형준,정준하,탁재훈,현영,허필봉,김화섭,정웅인,박정호,박정환,한용환,모상범,임정빈,여기한,오석규,이창세,김지우,김성주,정만식","2011-10-16",40,"일요일",1,3,16,"0",4.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,147762,1
"간기남","2012-04-11",110,1245981,63213,4859146,120,332,"한국","(주)쇼박스","청소년관람불가","코미디,스릴러","김형준","박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성","2012-05-20",40,"일요일",2,4,8,"0",6.88,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,114771,0
"감시자들","2013-07-03",4858,5500389,6197,2137063,431,731,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥","2013-08-11",40,"일요일",2,3,15,"0",7.77,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,222237,0
"강남1970","2015-01-21",163,2188679,27292,4258226,202,684,"한국","(주)쇼박스","청소년관람불가","액션,드라마","유하","이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호","2015-03-01",40,"일요일",3,4,19,"21,361",7.14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,163151,1
"강철비","2017-12-14",485,4450354,1652,972682,495,1259,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희","2018-01-22",40,"월요일",2,3,21,"5,965",8.36,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,253064,0
"개구쟁이스머프","2011-08-11",9,1025889,839,233171,124,262,"미국","한국소니픽쳐스릴리징브에나비스타영화㈜","전체관람가","애니메이션","라자고스넬","닐패트릭해리스,행크아자리아","2011-09-19",40,"월요일",0,3,1,"1,621",8.56,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,51173,1
"개를훔치는완벽한방법","2014-12-31",1084,254618,53790,2199065,18,205,"한국","(주)리틀빅픽쳐스,(주)대명문화공장","전체관람가","드라마,가족","김성호","김혜자,이레,최민수,강혜정,이천희,김솔,김원중,김도엽,박성규,이지원,정택호,김재화,홍은택,이기영,류선영,조은지","2015-02-08",40,"일요일",0,1,10,"5,046",9.02,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42892,0
"거북이달린다","2009-06-11",15205,2981790,289,510471,306,344,"한국","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석,정경호,견미리,선우선,서동수,이효권,최수현,양현석,김종근,김준희,최권,라미란,신정근,이무생,조덕제,유하복,차은재,김희원","2009-07-20",40,"월요일",2,4,6,"0",8.43,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,66062,0
"거울나라의앨리스","2016-09-07",50,512702,57779,2722437,14,444,"미국","월트디즈니컴퍼니코리아(주)","12세이상관람가","어드벤처,가족,판타지","제임스보빈","조니뎁,앤해서웨이,미아와시코브스카,헬레나본햄카터,사챠바론코헨,알란릭맨,마이클쉰,앤드류스캇","2016-10-16",40,"일요일",0,3,16,"7,616",8.31,1.857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21460,1
"건축학개론","2012-03-22",37396,3663610,775,1755995,422,549,"한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마","이용주","엄태웅,한가인,이제훈,배수지,고준희,조정석,박지은,신민영,신예진,유연석,조현철,박진우,김의성,이승호","2012-04-30",40,"월요일",1,4,5,"0",8.65,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151657,0
"걸리버여행기","2011-01-27",8,1762059,38210,9278110,28,355,"미국","이십세기폭스코리아(주)","전체관람가","코미디,어드벤처","롭레터맨","잭블랙","2011-03-07",40,"월요일",1,3,3,"0",5.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,85153,1
"검사외전","2016-02-03",3680,9699031,52985,4713840,446,1268,"한국","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준","2016-03-13",40,"일요일",1,4,33,"46,891",7.94,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,539688,1
"검은사제들","2015-11-05",16494,5407767,205,100562,479,834,"한국","씨제이이앤엠(주)","15세이상관람가","미스터리,드라마","장재현","김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철","2015-12-14",40,"월요일",1,4,22,"15,918",8.31,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,198674,0
"게이트","2018-02-28",5,101164,3700,2083626,7,179,"한국","(주)제이앤씨미디어그룹","15세이상관람가","범죄,코미디","신재호","정려원,임창정,정상훈,이경영,이문식","2018-04-08",40,"일요일",0,1,13,"371",3.71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,15613,0
"겟아웃","2017-05-17",851,2127261,163361,6792527,180,531,"미국","유니버설픽쳐스인터내셔널코리아(유)","15세이상관람가","공포(호러),미스터리,스릴러,드라마","조던필레","다니엘칼루야,앨리슨윌리암스,브래들리휘트포드,캐서린키너","2017-06-25",40,"일요일",1,3,0,"5,068",8.24,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,92398,0
"겨울왕국","2014-01-16",50465,9675656,9969,1169366,689,676,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","크리스벅,제니퍼리","이디나멘젤,크리스틴벨,조나단그로프,조시게드","2014-02-24",40,"월요일",1,2,0,"0",9.12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,166215,1
"결혼전야","2013-11-21",92,1212818,1248,966696,179,514,"한국","씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스,코미디","홍지영","김강우,김효진,주지훈,이연희,옥택연,마동석,구잘투르수노바,이희준,고준희,최종윤,정민주,이미도,최병모,김광규,장광,황정민,오나라","2013-12-30",40,"월요일",2,1,19,"0",7.03,1.857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,81774,0
"고산자,대동여지도","2016-09-07",483,973652,27616,2685899,966696,764,"한국","씨제이이앤엠(주)","전체관람가","사극","강우석","김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,박상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,조경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이승철,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정","2016-10-16",40,"일요일",3,4,13,"3,583",7.23,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,50226,1
"고지전","2011-07-20",1893,2941934,66272,5993795,300,559,"한국","(주)쇼박스","15세이상관람가","드라마,전쟁","장훈","신하균,고수,이제훈,류승수,고창석,이다윗,류승룡,김옥빈,조진웅,정인기,강구현,강내균,송현석,조민철,조민호,영건,박영서,박재철,박종환,박주용,하성철,조형우,서수석,김경일,김상수,최민,윤민수,임재현,김준영,김지수,이주승,최정우,전국환,김강일","2011-08-28",40,"일요일",3,4,11,"0",8.64,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,171874,0
"곡성","2016-05-12",10576,6811330,8387,2612716,564,1125,"한국","이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진","곽도원,황정민,쿠니무라준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경","2016-06-20",40,"월요일",2,3,24,"15,570",7.6,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,486556,0
"곤지암","2018-03-28",214,2675383,6836,1582001,375,808,"한국","(주)쇼박스","15세이상관람가","공포(호러),스릴러","정범식","위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤","2018-05-06",40,"일요일",1,4,0,"744",6.46,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,266449,0
"공모자들","2012-08-29",171,1644186,6578,1727216,193,399,"한국","씨너스엔터테인먼트(주),타임스토리그룹(주)","청소년관람불가","범죄,스릴러","김홍선","임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향,박승명,오상진,라미란,김재화,손종학","2012-10-07",40,"일요일",2,1,12,"0",7.01,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,102527,1
"공범","2013-10-24",15,1766042,3259,226409,175,515,"한국","씨제이이앤엠(주)","15세이상관람가","스릴러,드라마","국동석","손예진,김갑수,임형준,이규한,조안,강신일,유원선,이선아,장루비,최단비,함채영,김광규,박사랑,임종윤","2013-12-02",40,"월요일",1,4,13,"0",7.17,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,120959,0
"공범자들","2017-08-17",299,257565,90606,6718497,159,186,"한국","(주)엣나인필름","15세이상관람가","다큐멘터리","최승호","이명박,김재철,김장겸,고대영","2017-09-25",40,"월요일",0,0,0,"10,237",9.14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17571,0
"공조","2017-01-18",19474,7796341,4844,753974,742,900,"한국","씨제이이앤엠(주)","15세이상관람가","액션","김성훈","현빈,유해진,김주혁,장영남,이해영,윤아,이동휘","2017-02-26",40,"일요일",2,4,18,"9,879",8.27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,166451,1
"관능의법칙","2014-02-13",138,780485,138014,8422844,149,591,"한국","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마,코미디","권칠인","엄정화,문소리,조민수,이경영,이성민,이재윤,백동훈,전민혁,오상진,차수보,황정현,김용식,김재혁,김지은,조우진,최무성,진선규,권해효","2014-03-24",40,"월요일",0,4,11,"0",7.64,1.143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,79099,0
"관상","2013-09-11",9270,9102866,186637,7557076,442,927,"한국","(주)쇼박스","15세이상관람가","사극,드라마","한재림","송강호,이정재,백윤식,조정석,이종석,김혜수,신기원,윤종구,윤희원,이도엽,권영각,김길동,정준식,조훈휘,표유신,하정수,한만영,노준표,문혜진,박진우,전신환,김강현,유재명,김의성,정대용","2013-10-20",40,"일요일",3,4,20,"0",7.97,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,384236,1
"광해,왕이된남자","2012-09-13",77732,10334160,962,213761,7557076,688,"한국","씨제이이앤엠(주)","15세이상관람가","사극,드라마","추창민","이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱","2012-10-22",40,"월요일",2,4,14,"0",9.23,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,180410,1
"괴물의아이","2015-11-25",240,224252,4604,1318451,37,326,"일본","CGV아트하우스,(주)리틀빅픽쳐스","12세이상관람가","애니메이션,판타지,어드벤처","호소다마모루","야쿠쇼코지,미야자키아오이,소메타니쇼타,히로세스즈","2016-01-03",40,"일요일",0,2,0,"2,612",8.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,18097,0
"구르믈버서난달처럼","2010-04-28",72,1373888,130542,4509085,138,328,"한국","에스케이텔레콤(주)","15세이상관람가","사극,액션","이준익","황정민,김성훈,차승원,한지혜,백성현,신영훈,김영훈,함철훈,박광설,박미령,정선미,임재윤,권성영,김여정,이달형,박수정,이필훈,양명헌,송영창,박진우,신정근,이해영,김보연,김창완,정재헌,김상호","2010-06-06",40,"일요일",3,2,14,"0",6.85,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,50174,0
"국가대표","2009-07-29",184789,6916077,10683,265613,430,506,"한국","(주)쇼박스","12세이상관람가","드라마,액션,코미디","김용화","하정우,성동일,김지석,김동욱,최재환,이재응,이은성,이한위,이혜숙,김지영,쥬니,황하나,조재윤,심영,천주영,도승휘,전성빈,오광록,김수로,조진웅,김용건,김성주,이금희,박정수,손범수","2009-09-06",40,"일요일",3,4,8,"7,290",9.13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,120160,0
"국가대표완결판못다한이야기","2009-09-10",1223,346950,189554,8552165,31,55,"한국","(주)쇼박스","12세이상관람가","드라마,코미디","김용화","하정우,성동일,김지석,김동욱","2009-10-19",40,"월요일",3,4,2,"7,290",9.13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8324,1
"국제시장","2014-12-17",204816,12006473,1105,4765592,840,931,"한국","씨제이이앤엠(주)","12세이상관람가","드라마","윤제균","황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수","2015-01-25",40,"일요일",2,4,40,"12,784",9.01,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217804,0
"군도민란의시대","2014-07-23",100,4773840,7677,6530314,20,1250,"한국","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우,강동원,최귀화,이성민,조진웅,마동석,윤지혜,정만식,김성균,김재영,주진모,이경영,신나라,정두홍,조남희,조현도,김광현,김병주,김영철,김지선,김태수,노남석,송영창,이경영,김병옥,주영호,한예리,김시은,김해숙,정대용,정재헌","2014-08-31",40,"일요일",2,4,42,"14,319",6.92,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,565805,0
"군함도","2017-07-26",131,6575048,24756,2327674,192,2027,"한국","씨제이이앤엠(주)","15세이상관람가","액션,드라마","류승완","황정민,소지섭,송중기,이정현,김수안,지웅배,손용범","2017-09-03",40,"일요일",3,4,25,"97,770",5.28,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,992996,0
"굿모닝프레지던트","2009-10-22",1263,2551612,41431,2998159,287,508,"한국","씨제이엔터테인먼트","전체관람가","코미디,드라마","장진","한동학,장동건,이순재,고두심,한채영,허정규,송기관,송영규,박일,최지나,김현동,서정민,김광현,유승희,윤동현,전유진,이은영,김재호,최은영,김용숙,박희건,임하룡,조덕현,장영남,이철민,김원해,이한위,이해영,전국환,김인우","2009-11-30",40,"월요일",2,4,4,"0",6.68,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,107314,0
"그것만이내세상","2018-01-17",5821,3408173,4277,507707,703,825,"한국","씨제이이앤엠(주)","12세이상관람가","코미디,드라마","최성현","이병헌,윤여정,박정민,한지민,김성령,이주영","2018-02-25",40,"일요일",1,4,21,"5,829",8.92,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,149504,1
"그날,바다","2018-04-12",240,538540,4063,235992,507707,483,"한국","(주)엣나인필름","15세이상관람가","다큐멘터리","김지영","정우성","2018-05-21",40,"월요일",0,0,9,"945",8.98,1.429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,32458,0
"그녀","2014-05-22",2380,296421,9659,843487,67,153,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","드라마,멜로/로맨스","스파이크존즈","호아킨피닉스,스칼렛요한슨,에이미아담스,루니마라","2014-06-30",40,"월요일",0,3,6,"1,333",8.51,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10539,0
"그는당신에게반하지않았다","2009-02-12",430,932878,24513,733273,132,339,"미국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","켄콰피스","제니퍼코넬리,드류베리모어,벤애플렉,지니퍼굿윈,제니퍼애니스턴,저스틴롱","2009-03-23",40,"월요일",0,3,2,"0",7.75,1.429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,70794,0
"그대를사랑합니다","2011-02-17",18255,1254168,52883,2515214,241,234,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","추창민","이순재,윤소정,송재호,김수미,송지효,오달수,최종학,김남준,박남희,이채은,라미란,유순철,조재윤,전배수,길해연","2011-03-28",40,"월요일",2,3,14,"0",9.34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,56180,0
"그래비티","2013-10-17",10378,3087586,15758,487513,353,605,"미국","워너브러더스코리아(주)","12세이상관람가","SF,드라마","알폰소쿠아론","산드라블록,조지클루니","2013-11-25",40,"월요일",1,4,1,"0",8.28,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,113609,0
"그랜드부다페스트호텔","2014-03-20",6951,683274,828,127338,187,67,"미국","이십세기폭스코리아(주)","청소년관람불가","미스터리,어드벤처","웨스앤더슨","랄프파인즈,틸다스윈튼,주드로,애드리언브로디,윌렘데포,에드워드노튼,시얼샤로넌,레아세이두","2014-04-28",40,"월요일",0,3,11,"333",8.35,1.286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,10272,0
