"title","release","day_audience","total_audience","release_audience","screen","Nationality","distributor","grade","genre","director","actor","date","day","weekday","holiday","agency_score","dire_score","expect","Netizen_score","actors_score","SF","family","horror","documentary","drama","romance","musical","mystery","crime","historyy","western","adult","thrill","animation","action","adventure","war","comedy","fantasy","X18","all","X15","USA","KOR","first_day_audience","holiday"
"23아이덴티티","2017-02-22",28415,1623724,137005,503,"미국","유니버설픽쳐스인터내셔널코리아(유)","15세이상관람가","스릴러","M.나이트샤말란","제임스맥어보이,안야테일러조이,헤일리루리차드슨,베티버클리,브래드윌리엄헨크,킴디렉터,스털링K.브라운","2017-03-11",18,"토요일",0,3,2,"3,751",7.66,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,137279,0
"26년","2012-11-29",144852,2557611,113921,442,"한국","(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,김용민,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤","2012-12-16",18,"일요일",0,1,1,"0",6.37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,139482,0
"300제국의부활","2014-03-06",34318,1538327,119549,651,"미국","워너브러더스코리아(주)","청소년관람불가","액션,드라마,전쟁","노암머로","레나헤디,에바그린,설리반스탭플턴,로드리고산토로","2014-03-23",18,"일요일",0,4,2,"0",7.18,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,120997,0
"47미터","2017-07-19",333,589212,72116,542,"영국","씨네그루(주)키다리이엔티","15세이상관람가","스릴러,공포(호러)","조하네스로버츠","맨디무어,클레어홀트,매튜모딘","2017-08-05",18,"토요일",0,1,0,"3,483",7.23,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75603,0
"500일의썸머","2010-01-21",894,132738,12130,181,"미국","(주)팝엔터테인먼트,이십세기폭스코리아(주)","15세이상관람가","드라마,멜로/로맨스","마크웹","조셉고든레빗,주이데샤넬,제프리아렌드,클로이모레츠","2010-02-07",18,"일요일",0,3,2,"28",8.39,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14457,0
"50가지그림자심연","2017-02-09",1172,186889,24738,419,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","드라마,멜로/로맨스","제임스폴리","제이미도넌,다코타존슨","2017-02-26",18,"일요일",0,3,0,"3,757",7.41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24897,0
"50가지그림자해방","2018-02-21",3072,207135,21009,162,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","드라마,멜로/로맨스,스릴러","제임스폴리","다코타존슨,제이미도넌","2018-03-10",18,"토요일",0,3,0,"1,754",8.01,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,21350,0
"7광구","2011-08-04",12984,2225436,201006,733,"한국","씨제이이앤엠(주)","15세이상관람가","SF,액션,스릴러","김지훈","하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석","2011-08-21",18,"일요일",0,4,2,"0",3.34,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,215635,0
"7급공무원","2009-04-22",195401,2289785,43513,339,"한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘,강지환,유승목,강규영,김민국,강신일,장남열,심은혜,박지영,나귀화,서정주,천성일,민홍남,이상욱,박병렬,정경민,이수지,임성현,김재훈,김철남,이가현,서민경,이정선,김은주,손호승,김형범,장영남","2009-05-09",18,"토요일",0,4,2,"0",8.28,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,87235,0
"7년의밤","2018-03-28",228,522372,124688,872,"한국","씨제이이앤엠(주)","15세이상관람가","스릴러,드라마","추창민","류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희","2018-04-14",18,"토요일",0,4,2,"5,888",4.86,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,132601,0
"7번방의선물","2013-01-23",463820,5737901,152808,605,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수","2013-02-09",18,"토요일",0,3,2,"0",8.84,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,177508,0
"7호실","2017-11-15",670,344960,55985,629,"한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","이용승","신하균,도경수,김동영,김종수,김종구,박수영,전석호,황정민,정희태,김도윤,정승길,박소영,조민성,윤세현,이광기,이재혁,김성종","2017-12-02",18,"토요일",0,4,0,"12,977",6.59,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,62364,0
"A-특공대","2010-06-10",33818,694314,39099,315,"미국","이십세기폭스코리아(주)","15세이상관람가","액션","조카나한","리암니슨,퀸튼잭슨,브래들리쿠퍼,제시카비엘,샬토코플리,패트릭윌슨","2010-06-27",18,"일요일",0,3,0,"0",8.93,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,40591,0
"R.I.P.D.알.아이.피.디.","2013-08-22",102,101403,13515,260,"미국","유니버설픽쳐스인터내셔널코리아(유)","15세이상관람가","액션,코미디,범죄","로베르트슈벤트케","라이언레놀즈,제프브리지스,케빈베이컨,메리-루이스파커","2013-09-08",18,"일요일",0,3,0,"0",7.64,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,14405,0
"R2B리턴투베이스","2012-08-15",21551,1153973,206793,534,"한국","씨제이이앤엠(주)","15세이상관람가","액션,드라마","김동원","정지훈,유준상,신세경,김성수,이하나,이종석,정경호,조성하,오달수,정석원,임태열,정호빈,김성철,이웅규,윤승남,박효준,정한용,최진호,엄효섭","2012-09-01",18,"토요일",0,4,2,"0",7.56,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,260009,0
"가디언의전설","2010-10-28",13055,287638,12292,233,"미국","워너브러더스코리아(주)","전체관람가","애니메이션,어드벤처,판타지","잭스나이더","휴고위빙,짐스터게스,라이언콴튼","2010-11-14",18,"일요일",0,4,2,"0",8.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,12292,0
"가디언즈","2012-11-29",80380,899670,19554,337,"미국","씨제이이앤엠(주)","전체관람가","애니메이션,어드벤처","피터램지","크리스파인,알렉볼드윈,휴잭맨,주드로,아일라피셔,다코타고요,이제훈,류승룡,유해진,이종혁,한혜진","2012-12-16",18,"일요일",0,4,1,"0",9.15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,84573,0
"가디언즈오브갤럭시","2014-07-31",22967,1213889,121866,497,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","12세이상관람가","액션,어드벤처,SF","제임스건","크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼","2014-08-17",18,"일요일",0,2,2,"7,337",8.55,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,122871,0
"가디언즈오브갤럭시VOL.2","2017-05-03",54193,2614575,422412,1166,"미국","월트디즈니컴퍼니코리아유한책임회사","12세이상관람가","액션,SF","제임스건","크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼","2017-05-20",18,"토요일",0,2,2,"7,337",8.93,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,570901,0
"가려진시간","2016-11-16",596,506249,71077,884,"한국","(주)쇼박스","12세이상관람가","드라마,판타지","엄태화","강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우","2016-12-03",18,"토요일",0,4,0,"12,208",8.43,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,90229,0
"가문의영광4-가문의수난","2011-09-07",34812,2276179,62553,391,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미,신현준,임형준,정준하,탁재훈,현영,허필봉,김화섭,정웅인,박정호,박정환,한용환,모상범,임정빈,여기한,오석규,이창세,김지우,김성주,정만식","2011-09-24",18,"토요일",1,3,1,"0",4.14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,147762,1
"가문의영광5-가문의귀환","2012-12-19",20187,1113876,153719,423,"한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","정용기","조성현,정준호,김민정,유동근,성동일,박근형,박상욱,윤두준,황광희,유민,손나은,이창세,한정원,박준우,박효진,이주원,유혜정,이한위,왕석현,윤문식,남태부","2013-01-05",18,"토요일",0,4,3,"0",6.06,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,166038,0
"가비","2012-03-15",663,268583,23878,315,"한국","(주)시네마서비스","15세이상관람가","드라마,멜로/로맨스,미스터리","장윤현","주진모,김소연,박희순,유선,손호승,채현우,홍준표,오동현,조승연,조덕현,조덕제,엄효섭","2012-04-01",18,"일요일",0,3,1,"0",6.86,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30515,0
"간기남","2012-04-11",44844,1053678,103609,332,"한국","(주)쇼박스","청소년관람불가","코미디,스릴러","김형준","박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성","2012-04-28",18,"토요일",0,4,2,"0",6.88,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,114771,0
"간신","2015-05-21",17045,1015100,83605,674,"한국","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","사극","민규동","주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화","2015-06-07",18,"일요일",0,4,3,"4,570",6.9,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,92552,0
"간첩","2012-09-20",27503,1255724,68841,533,"한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,코미디,액션","우민호","김명민,염정아,유해진,변희봉,정겨운,정만식,이승호,오나라,천보근,박진우,장호준,정병두,조민호,최두선,박유영,박현수,서규선,박일목,조영진,김민재,오광록","2012-10-07",18,"일요일",1,4,3,"0",7.18,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,73726,1
"감기","2013-08-14",66832,2964507,304661,671,"한국","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","장혁,수애,박민하,유해진,이희준,김기현,이상엽,박효주,박정민,최병모,마동석,차인표,정석원,나기찬(윤숭태),정재형,김남준,한승희,전상진,이영수,한정학,이학수,장슬기,김태준,박성철,박예슬,박진혁,박희권,유순철,나윤성,남문철","2013-08-31",18,"토요일",0,1,2,"0",7.06,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,431461,0
"감바의대모험","2016-11-10",6226,108656,3503,203,"일본","(주)영화사빅","전체관람가","애니메이션,어드벤처","카와무라토모히로,코모리요시히로",NA,"2016-11-27",18,"일요일",0,0,0,"143",8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7136,0
"감시자들","2013-07-03",234527,4368961,210052,731,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥","2013-07-20",18,"토요일",0,3,2,"0",7.77,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,222237,0
"갓오브이집트","2016-03-03",25510,898549,56814,485,"미국","(주)시네마서비스,(주)나이너스엔터테인먼트","12세이상관람가","어드벤처,판타지","알렉스프로야스","제라드버틀러,니콜라이코스터왈도,코트니이튼,브렌튼스웨이츠,애비리","2016-03-20",18,"일요일",0,3,1,"2,439",7.36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,59744,0
"강남1970","2015-01-21",59968,2026256,152329,684,"한국","(주)쇼박스","청소년관람불가","액션,드라마","유하","이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호","2015-02-07",18,"토요일",0,4,3,"21,361",7.14,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,163151,0
"강철대오구국의철가방","2012-10-25",1915,230319,26768,366,"한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","육상효","김인권,유다인,조정석,박철민,이현학,임명현,임진택,임하나,김경재,김선혜,한국진,손영민,이규섭,손진우,유신애,최민,김인우,신현빈,박영수","2012-11-11",18,"일요일",0,4,0,"0",6.41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,39533,0
"강철비","2017-12-14",120846,4014293,236952,1259,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희","2017-12-31",18,"일요일",0,3,2,"5,965",8.36,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,253064,0
"개구쟁이스머프","2011-08-11",48270,956391,48777,262,"미국","한국소니픽쳐스릴리징브에나비스타영화㈜","전체관람가","애니메이션","라자고스넬","닐패트릭해리스,행크아자리아","2011-08-28",18,"일요일",0,3,0,"1,621",8.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,51173,0
"개구쟁이스머프2","2013-08-01",23282,872504,92058,377,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션,코미디,가족","라자고스넬","박명수,닐패트릭해리스,크리스티나리치,알란커밍,행크아자리아,케이티페리,제이마메이스","2013-08-18",18,"일요일",0,2,0,"0",7.82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,144041,0
"개를훔치는완벽한방법","2014-12-31",2229,226342,26982,205,"한국","(주)리틀빅픽쳐스,(주)대명문화공장","전체관람가","드라마,가족","김성호","김혜자,이레,최민수,강혜정,이천희,김솔,김원중,김도엽,박성규,이지원,정택호,김재화,홍은택,이기영,류선영,조은지","2015-01-17",18,"토요일",0,1,0,"5,046",9.02,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42892,0
"거북이달린다","2009-06-11",101005,1950849,64418,344,"한국","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석,정경호,견미리,선우선,서동수,이효권,최수현,양현석,김종근,김준희,최권,라미란,신정근,이무생,조덕제,유하복,차은재,김희원","2009-06-28",18,"일요일",0,4,2,"0",8.43,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,66062,0
"거울나라의앨리스","2016-09-07",12827,490358,19058,444,"미국","월트디즈니컴퍼니코리아(주)","12세이상관람가","어드벤처,가족,판타지","제임스보빈","조니뎁,앤해서웨이,미아와시코브스카,헬레나본햄카터,사챠바론코헨,알란릭맨,마이클쉰,앤드류스캇","2016-09-24",18,"토요일",1,3,0,"7,616",8.31,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21460,1
"건축학개론","2012-03-22",158074,2334068,66580,549,"한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마","이용주","엄태웅,한가인,이제훈,배수지,고준희,조정석,박지은,신민영,신예진,유연석,조현철,박진우,김의성,이승호","2012-04-08",18,"일요일",0,4,1,"0",8.65,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151657,0
"걸리버여행기","2011-01-27",35954,1733666,84845,355,"미국","이십세기폭스코리아(주)","전체관람가","코미디,어드벤처","롭레터맨","잭블랙","2011-02-13",18,"일요일",1,3,1,"0",5.72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,85153,1
"걸프렌즈","2009-12-17",301,103602,11776,227,"한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","강석범","강혜정,한채영,허이재,배수빈,김혜옥,손정민,김보민,유재웅,곽진석,전수민,최승훈,이예슬,이혜승,박성웅,산다라박,지대한,조은지","2010-01-03",18,"일요일",0,3,1,"0",4.91,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,17684,0
"검사외전","2016-02-03",185021,8881173,526680,1268,"한국","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준","2016-02-20",18,"토요일",1,4,1,"46,891",7.94,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,539688,1
"검우강호","2010-10-14",3266,309910,22761,276,"홍콩","(주)에스비에스콘텐츠허브","15세이상관람가","액션","오우삼","정우성,양자경,서희원,쉬시위안,여문락","2010-10-31",18,"일요일",0,1,2,"0",7.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,33224,0
"검은사제들","2015-11-05",173260,4448673,191090,834,"한국","씨제이이앤엠(주)","15세이상관람가","미스터리,드라마","장재현","김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철","2015-11-22",18,"일요일",0,4,1,"15,918",8.31,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,198674,0
"게이머","2009-10-01",599,305252,42015,238,"미국","(주)시너지하우스(시너지)","청소년관람불가","액션,SF,스릴러","브라이언테일러,마크네빌딘","제라드버틀러,앰버발레타","2009-10-18",18,"일요일",1,2,0,"0",5.84,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,45812,1
"게이트","2018-02-28",207,99478,13723,179,"한국","(주)제이앤씨미디어그룹","15세이상관람가","범죄,코미디","신재호","정려원,임창정,정상훈,이경영,이문식","2018-03-17",18,"토요일",0,1,0,"371",3.71,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,15613,0
"겟아웃","2017-05-17",61165,1958029,92124,531,"미국","유니버설픽쳐스인터내셔널코리아(유)","15세이상관람가","공포(호러),미스터리,스릴러,드라마","조던필레","다니엘칼루야,앨리슨윌리암스,브래들리휘트포드,캐서린키너","2017-06-03",18,"토요일",0,3,1,"5,068",8.24,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,92398,0
"겨울왕국","2014-01-16",565278,6018077,160592,676,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","크리스벅,제니퍼리","이디나멘젤,크리스틴벨,조나단그로프,조시게드","2014-02-02",18,"일요일",1,2,1,"0",9.12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,166215,1
"결혼전야","2013-11-21",46886,1097832,56240,514,"한국","씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스,코미디","홍지영","김강우,김효진,주지훈,이연희,옥택연,마동석,구잘투르수노바,이희준,고준희,최종윤,정민주,이미도,최병모,김광규,장광,황정민,오나라","2013-12-08",18,"일요일",0,1,2,"0",7.03,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,81774,0
